STATE/UT,YEAR,DEMOGRAPHIC PARTICULARS,Male Convicts,Female Convicts,Total Convicts,Male Under trial,Female Under trial,Total Under trial,Male Detenues,Female Detenues,Total Detenues,Male Others,Female Others,Total Others,Total Male,Total Female,Grand Total
ARUNACHAL PRADESH,2012,Educational Standard - Class X and above but below graduate,0,0,0,13,0,13,0,0,0,0,0,0,13,0,13
ARUNACHAL PRADESH,2012,Educational Standard - Graduate,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
ARUNACHAL PRADESH,2012,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2001,Educational Standard,2356,47,2403,3938,127,4065,16,0,16,1,0,1,6311,174,6485
ASSAM,2001,Educational Standard - Illiterate,782,18,800,1747,70,1817,1,0,1,1,0,1,2531,88,2619
ASSAM,2001,Educational Standard - Below Class X,1172,23,1195,1567,40,1607,4,0,4,0,0,0,2743,63,2806
ASSAM,2001,Educational Standard - Class X and above but below graduate,352,6,358,557,17,574,8,0,8,0,0,0,917,23,940
ASSAM,2001,Educational Standard - Graduate,44,0,44,62,0,62,3,0,3,0,0,0,109,0,109
ASSAM,2001,Educational Standard - Post-Graduate,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
ASSAM,2001,Educational Standard - Holding technical degree/diploma etc,4,0,4,5,0,5,0,0,0,0,0,0,9,0,9
ASSAM,2002,Educational Standard,2676,54,2730,4206,113,4319,18,0,18,0,0,0,6900,167,7067
ASSAM,2002,Educational Standard - Illiterate,874,24,898,1737,41,1778,0,0,0,0,0,0,2611,65,2676
ASSAM,2002,Educational Standard - Below Class X,1389,25,1414,1790,63,1853,7,0,7,0,0,0,3186,88,3274
ASSAM,2002,Educational Standard - Class X and above but below graduate,366,5,371,579,9,588,11,0,11,0,0,0,956,14,970
ASSAM,2002,Educational Standard - Graduate,40,0,40,82,0,82,0,0,0,0,0,0,122,0,122
ASSAM,2002,Educational Standard - Post-Graduate,3,0,3,8,0,8,0,0,0,0,0,0,11,0,11
